year,median_hh_income,avg_hourly_wage,federal_min_wage,median_home_price,median_rent,cpi_index,unemployment_rate,lfp_rate,college_tuition,healthcare_per_cap,real_hourly_wage,real_median_income,real_min_wage,nominal_wage_idx,real_wage_idx,cpi_idx,home_price_to_income,rent_burden_pct,affordable_rent_30pct,rent_gap,hours_for_rent_avg,hours_for_rent_min,tuition_idx,healthcare_idx,ESI
2000,41990,14.0,5.15,139.0,602,172.2,4.0,67.1,3508,4857,14.0,41990.0,5.15,100.0,100.0,100.0,3.310311979042629,17.20409621338414,1049.75,-447.75,43.0,116.89320388349513,100.0,100.0,100.0
2001,42228,14.37,5.15,147.8,620,177.1,4.7,66.8,3766,5233,13.972411067193674,41059.63636363636,5.007509881422925,102.64285714285715,99.80293619424053,102.84552845528457,3.500047361939945,17.618641659562375,1055.7,-435.70000000000005,43.145441892832295,120.3883495145631,107.35461801596351,107.74140415894584,96.4988632663028
2002,42409,14.73,5.15,158.1,633,179.9,5.8,66.6,4098,5570,14.09953307392996,40593.828793774315,4.929571984435798,105.21428571428572,100.71095052807115,104.47154471544718,3.7279822679148293,17.91129241434601,1060.225,-427.2249999999999,42.973523421588595,122.9126213592233,116.81870011402509,114.67984352480956,93.16531795191815
2003,43318,15.13,5.15,170.0,647,184.0,6.0,66.2,4694,5910,14.15970652173913,40539.997826086954,4.8197282608695655,108.07142857142857,101.1407608695652,106.85249709639955,3.924465580128353,17.923265155362667,1082.95,-435.95000000000005,42.76272306675479,125.63106796116504,133.8084378563284,121.68004941321804,89.6187562963656
2004,44389,15.67,5.15,184.1,665,188.9,5.5,66.0,5132,6280,14.28466913710958,40464.7210164108,4.6947061937533086,111.92857142857142,102.03335097935413,109.69802555168411,4.147423911329383,17.97742683998288,1109.725,-444.7249999999999,42.437779195915766,129.126213592233,146.29418472063853,129.29792052707433,86.27137823826754
2005,46326,16.11,5.15,219.0,691,195.3,5.1,66.0,5491,6697,14.204516129032255,40846.58064516129,4.540860215053764,115.07142857142856,101.46082949308754,113.41463414634147,4.727366921383241,17.899235850278462,1158.1499999999999,-467.14999999999986,42.892613283674734,134.17475728155338,156.5279361459521,137.88346716079886,79.93310671444374
2006,48201,16.75,5.15,221.9,722,201.6,4.6,66.2,5836,7091,14.307291666666666,41171.6875,4.398958333333334,119.64285714285714,102.19494047619047,117.07317073170734,4.6036389286529324,17.97473081471339,1205.0249999999999,-483.02499999999986,43.1044776119403,140.19417475728153,166.36259977194982,145.9954704550134,79.27648151587802
2007,50233,17.41,5.85,217.9,755,207.3,4.6,66.0,6185,7421,14.462141823444282,41727.55716353111,4.859479015918957,124.35714285714286,103.30101302460201,120.38327526132406,4.337785917623873,18.035952461529273,1255.825,-500.82500000000005,43.36588167719701,129.05982905982907,176.31128848346634,152.78978793493928,79.98898671815687
2008,52029,18.07,6.55,198.1,763,215.3,5.8,66.0,6585,7820,14.452642823966556,41613.53367394333,5.238783093358104,129.07142857142858,103.23316302833254,125.02903600464576,3.807491975628976,17.59787810644064,1300.725,-537.7249999999999,42.224681793027116,116.48854961832062,187.7137970353478,161.0047354333951,82.58137611880082
2009,49777,18.62,7.25,172.1,779,214.5,9.3,65.4,7020,8066,14.948083916083917,39960.836363636365,5.8202797202797205,133.0,106.77202797202798,124.5644599303136,3.457420093617534,18.779757719428652,1244.425,-465.42499999999995,41.836734693877546,107.44827586206897,200.11402508551882,166.0695902820671,83.49002487269246
2010,49445,19.07,7.25,170.5,783,218.1,9.6,64.7,7605,8390,15.056643741403025,39039.10591471802,5.724209078404401,136.21428571428572,107.5474552957359,126.65505226480838,3.4482758620689653,19.00293255131965,1236.125,-453.125,41.05925537493445,108.0,216.7901938426454,172.74037471690343,81.43645165575708
2011,50054,19.46,7.25,166.2,788,224.9,8.9,64.1,8244,8660,14.900008892841262,38325.02801244998,5.551133837261005,139.0,106.42863494886616,130.60394889663183,3.3204139529308345,18.891597075158828,1251.35,-463.3499999999999,40.49331963001028,108.6896551724138,235.00570125427595,178.2993617459337,80.0156079051122
2012,51017,19.73,7.25,177.2,804,229.6,8.1,63.7,8655,8943,14.7975,38262.75,5.4375,140.92857142857142,105.69642857142856,133.33333333333334,3.4733520199149304,18.911343277730953,1275.425,-471.42499999999995,40.750126710593,110.89655172413794,246.7217787913341,184.12600370599134,76.9448847131168
2013,52250,20.13,7.25,197.4,818,233.0,7.4,63.2,8893,9225,14.877193133047209,38615.6652360515,5.358154506437768,143.78571428571428,106.2656652360515,135.30778164924507,3.7779904306220096,18.786602870813397,1306.25,-488.25,40.635866865375064,112.82758620689656,253.50627137970352,189.93205682520073,73.74896672034043
2014,53657,20.62,7.25,208.9,835,236.7,6.2,62.9,9139,9435,15.001115335868189,39035.63751584284,5.274397972116604,147.28571428571428,107.15082382762992,137.45644599303134,3.893247852097583,18.67417112399128,1341.425,-506.42499999999995,40.49466537342386,115.17241379310344,260.5188141391106,194.2557134033354,72.23919119014369
2015,55775,21.03,7.25,223.9,857,237.0,5.3,62.7,9417,9659,15.280025316455697,40525.12658227848,5.267721518987342,150.21428571428572,109.14303797468354,137.63066202090593,4.014343343792022,18.438368444643658,1394.375,-537.375,40.75130765572991,118.20689655172414,268.4435575826682,198.8676137533457,71.10865018355557
2016,57617,21.54,7.25,235.5,875,240.0,4.9,62.8,9648,10010,15.454949999999998,41340.197499999995,5.201874999999999,153.85714285714286,110.39249999999998,139.37282229965157,4.087335335057362,18.223788118090148,1440.425,-565.425,40.62209842154132,120.6896551724138,275.02850627137974,206.09429689108504,69.85016955006506
2017,61372,22.31,7.25,248.8,952,245.1,4.4,62.9,9970,10739,15.674345165238675,43118.14932680538,5.093635250917992,159.35714285714283,111.95960832313338,142.33449477351917,4.05396597797041,18.614351821677637,1534.3,-582.3,42.67144778126401,131.31034482758622,284.20752565564425,221.10356186946674,67.66119906932167
2018,63179,23.19,7.25,257.6,981,251.1,3.9,63.1,10230,11172,15.903297491039426,43327.056152927114,4.9719235364396654,165.64285714285717,113.59498207885304,145.81881533101046,4.077304167524019,18.63277354817265,1579.4750000000001,-598.4750000000001,42.30271668822768,135.31034482758622,291.61915621436714,230.01852995676342,66.37318405526933
